caminho_arquivo,classe
data\raw\Downy Mildew\Downy Mildew_815.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_421.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_778.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_277.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_215.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_571.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_729.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_111.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_782.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1047.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_497.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_158.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_998.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_602.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_19.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1191.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_402.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_476.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_648.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_85.png,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_772.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_267.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_714.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_950.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_110.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_842.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_584.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_385.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_137.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1034.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_601.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_814.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_342.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_888.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_362.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_268.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_363.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_247.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_915.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_198.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_714.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_339.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_306.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1210.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_509.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_196.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_412.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_87.png,Bacterial Leaf Spot
data\raw\Healthy Leaves\Healthy Leaves_245.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_934.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_658.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_171.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_279.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_632.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1149.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_364.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_763.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_524.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_234.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_166.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_159.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_554.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_527.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1013.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_638.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1161.png,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_79.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_874.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_191.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_450.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_181.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_387.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_308.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_84.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_54.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_56.jpg,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_764.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_102.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_325.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_120.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_855.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_344.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_219.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_611.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_254.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_184.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_500.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_976.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_397.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1043.png,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_932.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_15.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_776.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_555.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_669.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_773.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_823.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_152.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_185.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_16.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_531.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_215.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_824.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_817.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_719.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_546.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_418.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_779.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_884.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_761.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_376.JPG,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_216.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1086.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_59.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_177.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_150.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_52.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_310.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_234.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1172.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_752.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_141.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_293.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_326.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_741.jpg,Healthy Leaves
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_21.jpg,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_267.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_43.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_685.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_164.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_433.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_706.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_230.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1124.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_799.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_629.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_28.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_44.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_884.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_908.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_545.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_41.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1217.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_402.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_4.png,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_1023.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_378.JPG,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_914.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_835.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_446.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_922.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_650.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_791.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_946.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_654.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_85.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_752.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_320.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_317.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_759.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1114.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_683.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1026.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1131.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_411.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_614.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_833.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_259.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_754.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_722.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_188.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_846.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1071.jpg,Healthy Leaves
